sampleid,generation,condition,parentplant,parentcondition,plantinggroup,growthchamber,shelf,combocondition,sampletype,fresh.root.weight_g,dry.root.weight_g,fresh.shoot.weight_g,dry.shoot.weight_g,fresh.pods.weight_g,dry.empty.pods.weight_g,pod_number,seed_number,dry.seed.weight_g,dry.pod.total_g,30dry.seed.weight_g,total.upper.drymass_g,date_of_licor,photosynthetic_rate,stomatal_conductance
ROOT_G2_84,2,Control,C10,Control,1,2,bottom,Control_Control,LiCOR_Health,NA,2.85,NA,6.5,NA,NA,8,21,NA,14.5,NA,NA,3_31_2021,12.0641765,0.141975792
ROOT_G2_86,2,Control,N11,Nutrient,1,2,bottom,Control_Nutrient,LiCOR_Health,NA,0.79,NA,9,NA,NA,9,19,NA,12.1,NA,NA,3_31_2021,15.2807844,0.12281312
ROOT_G2_87,2,Nutrient,D9,Drought,1,2,bottom,Nutrient_Drought,LiCOR_Health,NA,3.45,NA,13.4,NA,NA,10,25,NA,11.1,NA,NA,3_31_2021,10.1350577,0.076471939
ROOT_G2_89,2,Nutrient,D15,Drought,1,2,bottom,Nutrient_Drought,LiCOR_Health,NA,2.67,NA,13.2,NA,NA,8,22,NA,13.1,NA,NA,3_31_2021,15.2780594,0.116247711
ROOT_G2_90,2,Drought,N10,Nutrient,1,2,bottom,Drought_Nutrient,LiCOR_Health,NA,4.12,NA,4,NA,NA,9,26,NA,11.9,NA,NA,3_31_2021,7.99322077,0.049405551
ROOT_G2_95,2,Drought,C12,Control,2,1,top,Drought_Control,LiCOR_Health,NA,3.23,NA,3.59,NA,NA,8,19,NA,7.75,NA,NA,7_24_2021,19.0139114,0.260060446
ROOT_G2_96,2,Nutrient,D6,Drought,2,1,top,Nutrient_Drought,LiCOR_Health,NA,4.17,NA,7.43,NA,NA,7,29,NA,13.62,NA,NA,7_24_2021,17.90326387,0.268038273
ROOT_G2_97,2,Nutrient,N5B,Nutrient,2,1,top,Nutrient_Nutrient,LiCOR_Health,NA,2.96,NA,8.09,NA,NA,11,35,NA,5.38,NA,NA,7_24_2021,15.50270898,0.215347334
ROOT_G2_100,2,Drought,N5B,Nutrient,2,1,top,Drought_Nutrient,LiCOR_Health,NA,1.11,NA,2.31,NA,NA,7,15,NA,5.94,NA,NA,7_24_2021,24.32862673,0.48757389
ROOT_G2_101,2,Drought,N13,Nutrient,2,1,top,Drought_Nutrient,LiCOR_Health,NA,1.42,NA,2.08,NA,NA,6,21,NA,6.63,NA,NA,7_24_2021,13.83380041,0.239822386
ROOT_G2_103,2,Drought,N3B,Nutrient,2,1,top,Drought_Nutrient,LiCOR_Health,NA,1.38,NA,4.28,NA,NA,7,21,NA,9.8,NA,NA,7_24_2021,21.21661369,0.210796123
ROOT_G2_105,2,Control,C4,Control,2,1,top,Control_Control,LiCOR_Health,NA,1.18,NA,6.63,NA,NA,11,26,NA,8.18,NA,NA,7_24_2021,12.68525142,0.258450738
ROOT_G2_106,2,Nutrient,N3B,Nutrient,2,1,top,Nutrient_Nutrient,LiCOR_Health,NA,1.92,NA,4.56,NA,NA,10,27,NA,3.14,NA,NA,7_24_2021,20.47057331,0.311907115
ROOT_G2_108,2,Nutrient,C5,Control,2,1,top,Nutrient_Control,LiCOR_Health,NA,2.22,NA,5.24,NA,NA,7,20,NA,4.29,NA,NA,7_24_2021,15.08468855,0.152278721
ROOT_G2_111,2,Drought,C5,Control,2,1,top,Drought_Control,LiCOR_Health,NA,1.93,NA,5.83,NA,NA,11,30,NA,3.7,NA,NA,7_24_2021,20.35482271,0.273004615
ROOT_G2_113,2,Control,D1B,Drought,2,1,bottom,Control_Drought,LiCOR_Health,NA,3,NA,3.96,NA,NA,9,33,NA,6.55,NA,NA,7_24_2021,13.83815489,0.225081792
ROOT_G2_114,2,Nutrient,D1B,Drought,2,1,bottom,Nutrient_Drought,LiCOR_Health,NA,2.16,NA,5.54,NA,NA,11,35,NA,5.86,NA,NA,7_24_2021,21.79697243,0.212888582
ROOT_G2_116,2,Control,N2B,Nutrient,2,1,bottom,Control_Nutrient,LiCOR_Health,NA,2.86,NA,6.51,NA,NA,9,25,NA,8.49,NA,NA,7_24_2021,12.49258685,0.331695858
ROOT_G2_117,2,Drought,D2B,Drought,2,1,bottom,Drought_Drought,LiCOR_Health,NA,2.67,NA,6.26,NA,NA,7,17,NA,4.82,NA,NA,7_24_2021,12.98626774,0.204473244
ROOT_G2_118,2,Nutrient,C12,Control,2,1,bottom,Nutrient_Control,LiCOR_Health,NA,4.79,NA,9.02,NA,NA,13,41,NA,3.89,NA,NA,7_24_2021,19.05592169,0.301858731
ROOT_G2_120,2,Control,D2B,Drought,2,1,bottom,Control_Drought,LiCOR_Health,NA,1.23,NA,3.99,NA,NA,8,26,NA,7.14,NA,NA,7_24_2021,16.26739229,0.316459047
ROOT_G2_121,2,Nutrient,D2B,Drought,2,1,bottom,Nutrient_Drought,LiCOR_Health,NA,1.07,NA,6.17,NA,NA,11,31,NA,7.1,NA,NA,7_24_2021,6.378274731,0.123023492
ROOT_G2_125,2,Control,N3B,Nutrient,2,1,bottom,Control_Nutrient,LiCOR_Health,NA,5.23,NA,5.24,NA,NA,8,17,NA,9.92,NA,NA,7_24_2021,5.147545576,0.256111345
ROOT_G2_127,2,Control,N13,Nutrient,2,1,bottom,Control_Nutrient,LiCOR_Health,NA,2.41,NA,3.66,NA,NA,7,14,NA,8.35,NA,NA,7_24_2021,4.959075099,0.127605728
ROOT_G2_130,2,Control,D6,Drought,2,1,bottom,Control_Drought,LiCOR_Health,NA,0.94,NA,3.63,NA,NA,7,15,NA,3.19,NA,NA,7_24_2021,16.41564784,0.281859774
ROOT_G2_132,2,Drought,C4,Control,2,1,bottom,Drought_Control,LiCOR_Health,NA,2.59,NA,4.81,NA,NA,9,21,NA,5.02,NA,NA,7_24_2021,6.661023264,0.219035647
ROOT_G2_133,2,Nutrient,C4,Control,2,2,bottom,Nutrient_Control,LiCOR_Health,NA,2.77,NA,5.89,NA,NA,10,23,NA,5.47,NA,NA,7_24_2021,10.47130308,0.106242472
ROOT_G2_134,2,Control,N5B,Nutrient,2,2,bottom,Control_Nutrient,LiCOR_Health,NA,0.99,NA,4.02,NA,NA,7,18,NA,4.61,NA,NA,7_24_2021,16.39597783,0.194707962
ROOT_G2_135,2,Drought,N2B,Nutrient,2,2,bottom,Drought_Nutrient,LiCOR_Health,NA,2.05,NA,2.63,NA,NA,8,17,NA,2.25,NA,NA,7_24_2021,12.89238423,0.120357068
ROOT_G2_138,2,Drought,D6,Drought,2,2,bottom,Drought_Drought,LiCOR_Health,NA,3.19,NA,3.56,NA,NA,7,17,NA,2.81,NA,NA,7_24_2021,7.422773992,0.051932283
ROOT_G2_140,2,Drought,D1B,Drought,2,2,bottom,Drought_Drought,LiCOR_Health,NA,3.59,NA,3.33,NA,NA,7,22,NA,10.93,NA,NA,7_24_2021,8.630555826,0.067845223
ROOT_G2_142,2,Control,C12,Control,2,2,bottom,Control_Control,LiCOR_Health,NA,1.81,NA,4.94,NA,NA,7,9,NA,10.04,NA,NA,7_24_2021,5.889474126,0.104585706
ROOT_G2_143,2,Control,C5,Control,2,2,bottom,Control_Control,LiCOR_Health,NA,4.37,NA,5.64,NA,NA,12,24,NA,5.95,NA,NA,7_24_2021,13.515161,0.148208608
ROOT_G2_144,2,Nutrient,N2B,Nutrient,2,2,bottom,Nutrient_Nutrient,LiCOR_Health,NA,4.71,NA,8.79,NA,NA,10,26,NA,5.74,NA,NA,7_24_2021,16.61551298,0.131636966
ROOT_G2_150,2,Nutrient,N13,Nutrient,2,2,bottom,Nutrient_Nutrient,LiCOR_Health,NA,2.04,NA,8.58,NA,NA,12,29,NA,4.61,NA,NA,7_24_2021,15.41426283,0.155785255
ROOT_G2_154,2,Drought,D10,Drought,3,1,top,Drought_Drought,LiCOR_Health,NA,5.76,NA,7.63,NA,NA,11,34,NA,9.39,NA,NA,10_26_2021,18.06384926,0.386405443
ROOT_G2_155,2,Control,D5,Drought,3,1,top,Control_Drought,LiCOR_Health,NA,4.6,NA,8.67,NA,NA,8,28,NA,8.45,NA,NA,10_26_2021,12.14116254,0.283003366
ROOT_G2_163,2,Nutrient,N5,Nutrient,3,1,top,Nutrient_Nutrient,LiCOR_Health,NA,2.4,NA,9.05,NA,NA,11,45,NA,12.78,NA,NA,10_26_2021,13.98643316,0.336401439
ROOT_G2_164,2,Nutrient,N1B,Nutrient,3,1,top,Nutrient_Nutrient,LiCOR_Health,NA,7.47,NA,10.74,NA,NA,15,35,NA,10.05,NA,NA,10_26_2021,18.3954884,0.373816558
ROOT_G2_165,2,Nutrient,C15,Control,3,1,top,Nutrient_Control,LiCOR_Health,NA,4.48,NA,9.71,NA,NA,7,23,NA,11.25,NA,NA,10_26_2021,16.40720275,0.263432736
ROOT_G2_166,2,Control,C2B,Control,3,1,top,Control_Control,LiCOR_Health,NA,6.98,NA,7.68,NA,NA,8,21,NA,5.95,NA,NA,10_26_2021,10.8611252,0.403411141
ROOT_G2_170,2,Drought,D13,Drought,3,1,top,Drought_Drought,LiCOR_Health,NA,6.92,NA,5.55,NA,NA,10,22,NA,8.11,NA,NA,10_26_2021,18.45583,0.622686413
ROOT_G2_171,2,Control,D11,Drought,3,1,top,Control_Drought,LiCOR_Health,NA,7.26,NA,7.01,NA,NA,8,26,NA,8.25,NA,NA,10_26_2021,8.73381919,0.390760564
ROOT_G2_173,2,Drought,C1B,Control,3,1,top,Drought_Control,LiCOR_Health,NA,2.31,NA,5.41,NA,NA,7,21,NA,6.03,NA,NA,10_26_2021,16.17781407,0.706568466
ROOT_G2_174,2,Drought,C2B,Control,3,1,bottom,Drought_Control,LiCOR_Health,NA,4.89,NA,7.22,NA,NA,10,30,NA,9.09,NA,NA,10_26_2021,14.89853588,0.416928611
ROOT_G2_181,2,Nutrient,D10,Drought,3,1,bottom,Nutrient_Drought,LiCOR_Health,NA,2.79,NA,10.18,NA,NA,11,35,NA,9.55,NA,NA,10_26_2021,15.65070162,0.463057936
ROOT_G2_182,2,Control,N5,Nutrient,3,1,bottom,Control_Nutrient,LiCOR_Health,NA,2.44,NA,6.9,NA,NA,8,30,NA,8.62,NA,NA,10_26_2021,16.75532937,0.548600771
ROOT_G2_183,2,Drought,C8,Control,3,1,bottom,Drought_Control,LiCOR_Health,NA,3.59,NA,6.53,NA,NA,9,29,NA,7.88,NA,NA,10_26_2021,18.89701997,0.562401951
ROOT_G2_184,2,Nutrient,D11,Drought,3,1,bottom,Nutrient_Drought,LiCOR_Health,NA,6.12,NA,12.05,NA,NA,9,33,NA,8.99,NA,NA,10_26_2021,11.8397638,0.330905573
ROOT_G2_185,2,Drought,C15,Control,3,1,bottom,Drought_Control,LiCOR_Health,NA,2.97,NA,5.42,NA,NA,9,25,NA,8.08,NA,NA,10_26_2021,16.26296445,0.269215081
ROOT_G2_186,2,Control,C1B,Control,3,1,bottom,Control_Control,LiCOR_Health,NA,6.06,NA,8.42,NA,NA,7,18,NA,8.06,NA,NA,10_26_2021,16.56534819,0.450258205
ROOT_G2_187,2,Nutrient,D13,Drought,3,1,bottom,Nutrient_Drought,LiCOR_Health,NA,8.13,NA,12.23,NA,NA,11,36,NA,11.44,NA,NA,10_26_2021,16.20764873,0.19766156
ROOT_G2_189,2,Control,N3,Nutrient,3,1,bottom,Control_Nutrient,LiCOR_Health,NA,3.72,NA,7.68,NA,NA,9,34,NA,9.35,NA,NA,10_26_2021,13.83610126,0.460454483
ROOT_G2_190,2,Drought,N5,Nutrient,3,1,bottom,Drought_Nutrient,LiCOR_Health,NA,3.86,NA,4.91,NA,NA,9,35,NA,8.36,NA,NA,10_26_2021,17.1427358,0.406314889
ROOT_G2_194,2,Nutrient,N3,Nutrient,3,1,bottom,Nutrient_Nutrient,LiCOR_Health,NA,5.74,NA,11.73,NA,NA,7,26,NA,11.03,NA,NA,10_26_2021,16.2266781,0.225344806
ROOT_G2_195,2,Drought,D5,Drought,3,1,bottom,Drought_Drought,LiCOR_Health,NA,2.49,NA,6.41,NA,NA,8,21,NA,8.62,NA,NA,10_26_2021,15.45187399,0.323059213
ROOT_G2_196,2,Nutrient,C8,Control,3,1,bottom,Nutrient_Control,LiCOR_Health,NA,3.97,NA,9.44,NA,NA,8,36,NA,9.38,NA,NA,10_26_2021,15.93970763,0.268400987
ROOT_G2_197,2,Drought,N3,Nutrient,3,2,bottom,Drought_Nutrient,LiCOR_Health,NA,8.84,NA,4.19,NA,NA,10,27,NA,2.52,NA,NA,10_26_2021,15.70423943,0.239780945
ROOT_G2_198,2,Control,N1B,Nutrient,3,2,bottom,Control_Nutrient,LiCOR_Health,NA,4.99,NA,6.11,NA,NA,9,21,NA,3.37,NA,NA,10_26_2021,16.20878801,0.3702225
ROOT_G2_201,2,Nutrient,C1B,Control,3,2,bottom,Nutrient_Control,LiCOR_Health,NA,5.01,NA,10.23,NA,NA,12,26,NA,4.1,NA,NA,10_26_2021,17.75453785,0.301447692
ROOT_G2_203,2,Control,C8,Control,3,2,bottom,Control_Control,LiCOR_Health,NA,6.21,NA,5.97,NA,NA,8,26,NA,4.88,NA,NA,10_26_2021,18.80594531,0.707769697
ROOT_G2_206,2,Control,D10,Drought,3,2,bottom,Control_Drought,LiCOR_Health,NA,7.48,NA,5.9,NA,NA,6,19,NA,3.26,NA,NA,10_26_2021,13.92845984,0.39184977
ROOT_G2_207,2,Control,C15,Control,3,2,bottom,Control_Control,LiCOR_Health,NA,4.09,NA,6.16,NA,NA,10,26,NA,7.71,NA,NA,10_26_2021,16.27609432,0.276223073
ROOT_G2_208,2,Drought,D11,Drought,3,2,bottom,Drought_Drought,LiCOR_Health,NA,5.3,NA,6.29,NA,NA,8,18,NA,3.53,NA,NA,10_26_2021,17.10728117,0.25536122
ROOT_G2_209,2,Nutrient,D5,Drought,3,2,bottom,Nutrient_Drought,LiCOR_Health,NA,4.49,NA,10.92,NA,NA,14,37,NA,8.72,NA,NA,10_26_2021,16.23758777,0.284336644
ROOT_G2_210,2,Control,D13,Drought,3,2,bottom,Control_Drought,LiCOR_Health,NA,6.33,NA,5.52,NA,NA,7,11,NA,5.25,NA,NA,10_26_2021,15.08321825,0.268257776
ROOT_G2_211,2,Drought,N1B,Nutrient,3,2,bottom,Drought_Nutrient,LiCOR_Health,NA,5.37,NA,4.32,NA,NA,4,16,NA,5.71,NA,NA,10_26_2021,15.34791793,0.221228263
ROOT_G2_215,2,Nutrient,C2B,Control,3,2,bottom,Nutrient_Control,LiCOR_Health,NA,4.99,NA,7.77,NA,NA,12,32,NA,9.45,NA,NA,10_26_2021,14.62855629,0.121178334